	date	text	source	likes	shares	year	month	day
22	2022-06-28 19:07:20	"RT @froumpos: #sasmos Εξαιρετικός ο Αυγουστίδης! 
Και σαν ρόλος ο Αστέρης με την καλοσύνη, τη μεγαλοψυχία, την απέραντη αγάπη και τη συντρι…"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7	2022	6	28
23	2022-06-28 19:07:16	@AsAphrodite Αγάπη είμαι έξω ακόμα, σε κανα μισάωρακι 😗	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2022	6	28
24	2022-06-28 19:07:05	RT @a_leftis: Γιαννη Αγγελακα, Παύλο Παυλίδη και τα παιδιά που έπαιζαν σας ευχαριστουμε για αυτές τις μουσικές άλλα πάνω από όλα ανθρώπινες…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	26	2022	6	28
25	2022-06-28 19:06:54	@sandybell262 Αγάπη με όλη τη σημασία της λέξης 🥺❤️	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
26	2022-06-28 19:06:45	@babis2019 Η αγάπη για το χρήμα, σε κάνει Παύλο Τσίμα — έλεγε κάποιος γνωστός ποιητής. Αλήθεια, εσένα ποια αρετή σε εκφράζει;	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2022	6	28
27	2022-06-28 19:06:27	"Παίρνεις  μια ζωή άθελα  σου #σασμος δίνεις πίσω μια ζωή με όλη την δύναμη της ψυχής σου
ΑΓΆΠΗ ρε φίλε"	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2022	6	28
28	2022-06-28 19:06:10	ΣΤΑΥΡΟΥΛΑΡΑ ΑΓΑΠΗ ΜΟΥ!!🏆❤️#survivorgr	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	11	0	2022	6	28
29	2022-06-28 19:06:04	"Είναι η αγάπη μια ζωή που σπαρταράει
Είναι μια μάνα που την πνίγει ο καημός
Είναι ένας άγγελος που πέφτει και πονάει
Είναι το αίμα που δακρύζει κι ο Θεός
Έτσι γεννιέται η ελπίδα και ο Σασμός
 
Ελπίδα και Σασμός
#σασμος 
#Sasmos
  "	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	1	0	2022	6	28
30	2022-06-28 19:05:46	ΣΤΑΥΡΟ ΑΓΑΠΗ ΜΟΥ.... Ο ΑΣΤΕΡΗΣ Ο ΠΑΤΕΡΑΣ ΤΟΥ ΠΕΤΡΗ ΘΑ ΣΩΣΕΙ ΤΗΝ ΓΥΝΑΙΚΑ ΠΟΥ ΑΓΑΠΗΣΕ! #sasmos	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	4	0	2022	6	28
31	2022-06-28 19:04:09	@kathikompolaki Κάποιοι άνθρωποι έχουν ανάγκη να πουν κάτι, περισσότερο για να πείσουν τον ίδιο τους τον εαυτό. Μην το ψάχνεις, δύσκολη η κατανόηση του ανθρώπινου νου...αγάπη μόνο...	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	1	0	2022	6	28
32	2022-06-28 19:03:52	RT @Nickadarel: Ότι παίρνει κάνεις στη ζωή καλό είναι. Άλλοι παίρνουν λεφτά, άλλοι αγάπη, άλλοι τα πάνω τους, άλλοι τα βουνά και κάποιοι άλ…	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	31	2022	6	28
